\text version='5' \,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伝票日付,伝票番号,仕訳区分,管理仕訳区分,借方税計算モード,借方部門コード,借方部門名,借方科目コード,借方科目名,借方補助コード,借方補助名,借方税区分コード,借方税区分名,借方金額,借方消費税額,貸方税計算モード,貸方部門コード,貸方部門名,貸方科目コード,貸方科目名,貸方補助コード,貸方補助名,貸方税区分コード,貸方税区分名,貸方金額,貸方消費税額,摘要文,数字１,数字２,入力プログラム区分,配賦元税計算,配賦元集計方法,配賦元集計開始日付,配賦元集計終了日付,配賦元管理仕訳区分,配賦元部門コード,配賦元部門名,配賦元科目コード,配賦元科目名,配賦元補助コード,配賦元補助名,配賦元金額
20210731,,21,0,1,,,,,,,,,,,1,0,,3120,,10116,,0,,15727,0,確定05月配信【1】ﾄﾞｺﾓ ｽｺﾞ得(有名ｽﾀﾝﾌﾟ)　仕入,,,1,,,,,,,,,,,,
20210731,,21,0,1,,,,,,,,,,,1,0,,3120,,10117,,0,,3370,0,確定05月配信【1】ﾄﾞｺﾓ ｽｺﾞ得(有名ｽﾀﾝﾌﾟ)　仕入,,,1,,,,,,,,,,,,
20210731,,21,0,1,,,,,,,,,,,1,0,,3120,,10118,,0,,46622,0,確定05月配信【1】ﾄﾞｺﾓ ｽｺﾞ得(有名ｽﾀﾝﾌﾟ)　仕入,,,1,,,,,,,,,,,,
20210731,,21,0,1,,,,,,,,,,,1,0,,3120,,10138,,0,,8051,0,確定05月配信【1】ﾄﾞｺﾓ ｽｺﾞ得(有名ｽﾀﾝﾌﾟ)　仕入,,,1,,,,,,,,,,,,
20210731,,21,0,1,,,,,,,,,,,1,0,,3120,,10140,,0,,23030,0,確定05月配信【1】ﾄﾞｺﾓ ｽｺﾞ得(有名ｽﾀﾝﾌﾟ)　仕入,,,1,,,,,,,,,,,,
20210731,,21,0,1,,,,,,,,,,,1,0,,3120,,10146,,0,,5429,0,確定05月配信【1】ﾄﾞｺﾓ ｽｺﾞ得(有名ｽﾀﾝﾌﾟ)　仕入,,,1,,,,,,,,,,,,
20210731,,21,0,1,,,,,,,,,,,1,0,,3120,,10150,,0,,9923,0,確定05月配信【1】ﾄﾞｺﾓ ｽｺﾞ得(有名ｽﾀﾝﾌﾟ)　仕入,,,1,,,,,,,,,,,,
20210731,,21,0,1,,,,,,,,,,,1,0,,3120,,10153,,0,,71712,0,確定05月配信【1】ﾄﾞｺﾓ ｽｺﾞ得(有名ｽﾀﾝﾌﾟ)　仕入,,,1,,,,,,,,,,,,
20210731,,21,0,1,,,,,,,,,,,1,0,,3120,,10174,,0,,35762,0,確定05月配信【1】ﾄﾞｺﾓ ｽｺﾞ得(有名ｽﾀﾝﾌﾟ)　仕入,,,1,,,,,,,,,,,,
20210731,,21,0,1,,,,,,,,,,,1,0,,3120,,10205,,0,,5055,0,確定05月配信【1】ﾄﾞｺﾓ ｽｺﾞ得(有名ｽﾀﾝﾌﾟ)　仕入,,,1,,,,,,,,,,,,
20210731,,21,0,1,,,,,,,,,,,1,0,,3120,,10210,,0,,8051,0,確定05月配信【1】ﾄﾞｺﾓ ｽｺﾞ得(有名ｽﾀﾝﾌﾟ)　仕入,,,1,,,,,,,,,,,,
